  32,  416,  912
  36,  420,  912
  32,  424,  904
  28,  436,  840
  24,  452,  856
  24,  468,  884
  24,  472,  856
  32,  492,  828
  36,  520,  832
  40,  528,  796
  52,  544,  748
  52,  588,  716
  56,  592,  696
  76,  624,  692
  84,  668,  660
  92,  660,  652
 108,  684,  596
 104,  704,  572
 128,  732,  520
 136,  780,  520
 140,  812,  492
 144,  800,  468
 148,  804,  464
 172,  820,  444
 164,  868,  440
 176,  888,  432
 180,  884,  428
 176,  896,  420
 176,  856,  396
 168,  892,  392
 168,  880,  372
 164,  912,  372
 164,  924,  392
 168,  908,  396
 172,  848,  396
 172,  880,  396
 164,  868,  412
 172,  880,  416
 152,  880,  416
 148,  868,  436
 140,  836,  460
 144,  800,  464
 116,  808,  472
 128,  788,  504
 116,  788,  508
 116,  772,  556
 112,  736,  596
 116,  700,  604
 112,  700,  628
 112,  680,  652
 112,  668,  688
 112,  640,  704
  88,  620,  748
  80,  576,  788
  68,  564,  792
  64,  544,  800
  56,  536,  852
  48,  528,  832
  48,  508,  872
  48,  484,  888
  44,  476,  908
  44,  464,  928
  36,  452,  920
  36,  428,  948
  32,  408,  972
  28,  404,  988
  32,  400,  996
  16,  376,  944
   4,  380, 1000
  12,  368,  992
  20,  352,  968
   8,  376, 1000
  16,  384,  936
  32,  380,  976
  32,  412,  944
  16,  428,  936
  28,  448,  916
  36,  452,  896
  40,  476,  888
  48,  492,  844
  52,  528,  832
  52,  532,  768
  52,  568,  776
  48,  580,  732
  52,  620,  696
  48,  624,  616
  52,  676,  624
  56,  648,  576
  64,  712,  548
  64,  720,  544
  76,  760,  496
  84,  740,  476
  88,  796,  460
  96,  824,  416
 116,  844,  384
 120,  796,  400
 108,  848,  396
 116,  860,  396
 116,  856,  364
 116,  864,  388
 112,  840,  392
 116,  816,  392
 116,  832,  400
 108,  832,  392
 112,  788,  408
  96,  792,  420
  96,  796,  440
  92,  768,  436
 100,  744,  464
  92,  736,  496
  88,  728,  512
  76,  712,  512
  68,  684,  544
  60,  668,  572
  52,  636,  604
  44,  612,  640
  40,  608,  620
  36,  564,  672
  36,  556,  724
  32,  532,  732
  32,  532,  756
  32,  492,  772
  32,  472,  848
  36,  464,  876
  40,  464,  892
  36,  452,  840
  40,  424,  888
  32,  428,  900
  28,  424,  912
  32,  424,  884
  36,  392,  888
  36,  424,  900
  44,  432,  904
  52,  444,  904
  52,  428,  848
  52,  448,  880
  52,  464,  856
