Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   8,  244, 1000,  284,   36
   0,  216, 1000,  256,   24
   0,  228, 1000,  264,   24
   0,  236, 1000,  272,   20
   0,  224, 1000,  264,   24
   8,  232, 1000,  272,    8
   0,  220, 1000,  260,   20
  16,  248, 1000,  292,   20
  12,  240, 1000,  256,   20
  12,  228, 1000,  268,   20
  16,  248, 1000,  292,   20
  12,  244, 1000,  256,   20
   0,  252, 1000,  268,    0
   4,  244, 1000,  260,   12
   8,  240, 1000,  256,   12
   4,  228, 1000,  244,    4
   8,  220, 1000,  256,   12
  12,  244, 1000,  284,   16
   4,  220, 1000,  256,   12
   4,  244, 1000,  260,    8
   0,  232, 1000,  240,    8
   4,  236, 1000,  252,   12
   4,  240, 1000,  248,    0
   0,  224, 1000,  236,    8
   0,  240, 1000,  236,    0
   4,  248, 1000,  228,    8
   4,  244, 1000,  228,    8
   4,  256, 1000,  244,   12
  16,  264, 1000,  232,    0
   8,  264, 1000,  248,   12
  20,  280, 1000,  260,   24
  24,  272, 1000,  264,   12
  24,  280, 1000,  244,   12
  20,  268, 1000,  260,   24
   8,  272, 1000,  256,   12
  12,  264, 1000,  252,   16
  16,  260, 1000,  252,    4
  12,  264, 1000,  220,   12
  12,  248, 1000,  252,   16
  12,  272, 1000,  260,   20
  24,  268, 1000,  268,    8
  12,  288, 1000,  280,   20
  16,  292, 1000,  292,   24
  16,  332, 1000,  332,    0
  20,  392, 1000,  380,   24
  20,  492, 1000,  488,   28
  32,  648, 1000,  628,   36
  44,  876, 1000,  876,   28
  80, 1000, 1000, 1000,   64
 140, 1000, 1000, 1000,  108
 224, 1000, 1000, 1000,  176
 380, 1000, 1000, 1000,  276
 640, 1000, 1000, 1000,  452
1000, 1000, 1000, 1000,  760
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000,  900, 1000, 1000, 1000
1000,  652, 1000,  812, 1000
 992,  492, 1000,  608, 1000
 684,  400, 1000,  460,  780
 424,  356, 1000,  440,  484
 248,  300, 1000,  348,  300
 160,  272, 1000,  316,  180
 108,  300, 1000,  296,  132
  60,  260, 1000,  256,   68
  32,  248, 1000,  256,   40
  32,  272, 1000,  272,   16
  32,  252, 1000,  244,   16
  16,  264, 1000,  244,    0
  24,  276, 1000,  272,   16
  24,  260, 1000,  232,    8
  16,  256, 1000,  252,   12
  16,  248, 1000,  252,    0
  20,  244, 1000,  236,    4
  12,  236, 1000,  252,   12
  28,  264, 1000,  284,    8
  24,  252, 1000,  268,    4
  40,  272, 1000,  260,   28
  28,  268, 1000,  284,   32
  40,  272, 1000,  288,   28
  40,  272, 1000,  292,   28
  28,  260, 1000,  276,   32
  36,  264, 1000,  264,   24
  32,  268, 1000,  260,   24
  24,  268, 1000,  256,   32
  24,  268, 1000,  240,   28
  28,  264, 1000,  248,   32
  36,  292, 1000,  268,   40
  32,  264, 1000,  232,   20
  28,  260, 1000,  232,   16
  24,  256, 1000,  232,   28
  16,  256, 1000,  224,   24
   8,  256, 1000,  216,   16
   8,  240, 1000,  192,    0
  12,  240, 1000,  204,    0
   8,  236, 1000,  204,   12
   8,  240, 1000,  200,    0
   8,  240, 1000,  200,    0
   4,  248, 1000,  212,   12
   8,  244, 1000,  216,   16
  24,  248, 1000,  212,   12
  20,  248, 1000,  212,    8
  12,  244, 1000,  224,   16
   8,  244, 1000,  212,   16
   4,  228, 1000,  208,   12
   4,  232, 1000,  192,    8
   8,  224, 1000,  192,    0
   0,  212, 1000,  172,    0
   0,  212, 1000,  168,    0
   0,  204, 1000,  192,    0
  12,  208, 1000,  196,    0
   0,  208, 1000,  184,    4
   4,  212, 1000,  184,    8
  16,  236, 1000,  204,    8
   4,  224, 1000,  200,    0
   0,  232, 1000,  200,    0
   4,  228, 1000,  208,    8
   4,  216, 1000,  204,   12
   4,  224, 1000,  212,    8
   4,  220, 1000,  216,   12
   8,  240, 1000,  236,   12
  16,  220, 1000,  232,   20
   4,  228, 1000,  240,    8
   0,  228, 1000,  216,    4
   8,  220, 1000,  232,   16
   4,  216, 1000,  224,    8
  12,  232, 1000,  240,   16
   0,  204, 1000,  212,    8
   0,  212, 1000,  200,    4
  12,  224, 1000,  232,    0
   0,  204, 1000,  212,    4
   0,  220, 1000,  208,    0
  20,  232, 1000,  236,    8
   0,  208, 1000,  220,    8
   0,  212, 1000,  224,    0
   0,  204, 1000,  212,    4
   0,  216, 1000,  224,    8
  12,  212, 1000,  224,    0
   0,  220, 1000,  232,    8
   4,  200, 1000,  236,    0
   4,  196, 1000,  232,    4
   0,  200, 1000,  232,    8
  24,  220, 1000,  256,   12
   0,  200, 1000,  236,    4
   0,  204, 1000,  240,    4
   0,  224, 1000,  228,    8
   4,  204, 1000,  236,    0
   4,  216, 1000,  228,    4
   0,  212, 1000,  224,    8
   0,  200, 1000,  232,    8
   4,  196, 1000,  232,    4
   0,  196, 1000,  232,    8
   4,  216, 1000,  252,    8
   0,  192, 1000,  228,    8
   0,  192, 1000,  228,    4
   4,  192, 1000,  260,   12
   4,  196, 1000,  228,    8
   4,  196, 1000,  256,    4
   4,  192, 1000,  252,   12
   4,  196, 1000,  256,   12
   4,  204, 1000,  240,    4
   4,  200, 1000,  236,   12
   8,  224, 1000,  260,   12
   4,  200, 1000,  236,   12
  12,  200, 1000,  260,    4
  16,  216, 1000,  256,   20
   8,  196, 1000,  260,   12
   4,  192, 1000,  248,   12
  16,  232, 1000,  272,   24
  12,  204, 1000,  268,   20
   4,  208, 1000,  272,   12
  12,  204, 1000,  272,   16
  12,  208, 1000,  272,   16
   8,  208, 1000,  272,   12
   8,  208, 1000,  268,   16
  16,  232, 1000,  296,   20
   8,  208, 1000,  272,   16
  20,  216, 1000,  256,    8
  16,  216, 1000,  288,   24
  20,  240, 1000,  280,   28
  24,  236, 1000,  276,   28
  24,  244, 1000,  284,   32
  24,  244, 1000,  284,   32
  24,  236, 1000,  276,   32
  24,  236, 1000,  276,   28
  16,  236, 1000,  272,    4
  16,  220, 1000,  284,   24
  12,  220, 1000,  260,   20
  12,  220, 1000,  260,   16
  12,  216, 1000,  252,   16
   8,  216, 1000,  252,   12
  16,  220, 1000,  260,   20
  16,  232, 1000,  244,    4
  16,  228, 1000,  264,   24
  16,  224, 1000,  260,    0
  12,  228, 1000,  268,   16
  12,  216, 1000,  256,   20
  16,  224, 1000,  260,    0
  12,  216, 1000,  252,   16
  12,  232, 1000,  272,   20
   8,  208, 1000,  244,   16
   4,  208, 1000,  244,    8
   8,  204, 1000,  240,   12
  20,  224, 1000,  260,    8
   4,  196, 1000,  256,    8
   0,  192, 1000,  248,    0
   8,  224, 1000,  260,   16
   0,  196, 1000,  232,    4
   4,  192, 1000,  228,    0
   8,  224, 1000,  260,   16
   0,  200, 1000,  232,    8
   0,  204, 1000,  240,    4
   8,  224, 1000,  260,   16
   4,  204, 1000,  240,    8
   4,  220, 1000,  232,    8
   4,  208, 1000,  244,   12
   4,  204, 1000,  240,    8
  12,  216, 1000,  252,    0
   0,  204, 1000,  236,    8
   8,  204, 1000,  236,    0
   4,  208, 1000,  244,    4
   8,  204, 1000,  240,    0
   8,  224, 1000,  260,    0
   0,  200, 1000,  236,    8
   0,  208, 1000,  244,    4
  24,  236, 1000,  272,   12
   0,  224, 1000,  232,    8
   0,  208, 1000,  244,    8
  12,  220, 1000,  260,   20
   4,  208, 1000,  244,    8
   8,  212, 1000,  224,    0
   0,  216, 1000,  228,    8
   0,  200, 1000,  236,    0
   8,  200, 1000,  232,    8
   0,  196, 1000,  228,    8
   0,  220, 1000,  256,    8
   0,  196, 1000,  232,    8
   0,  192, 1000,  224,    4
   4,  196, 1000,  232,   12
   8,  204, 1000,  240,   12
   8,  212, 1000,  224,   12
   4,  204, 1000,  236,   12
   8,  212, 1000,  248,   16
   0,  200, 1000,  236,   12
   4,  204, 1000,  240,   12
   8,  204, 1000,  236,   12
   0,  204, 1000,  240,   16
   4,  208, 1000,  244,    4
   0,  208, 1000,  244,   20
   8,  232, 1000,  268,   16
   0,  204, 1000,  236,   16
   0,  208, 1000,  244,   20
   8,  232, 1000,  272,   32
   0,  212, 1000,  248,   24
   0,  220, 1000,  260,   24
  12,  244, 1000,  284,   36
   4,  236, 1000,  248,   28
   8,  236, 1000,  272,   32
  28,  260, 1000,  304,   36
   8,  240, 1000,  280,   32
  12,  240, 1000,  280,   36
  16,  236, 1000,  276,   40
   8,  240, 1000,  280,   32
  12,  240, 1000,  280,   12
   4,  224, 1000,  260,   28
   8,  244, 1000,  284,   36
  20,  224, 1000,  264,   20
   0,  228, 1000,  268,   28
   0,  236, 1000,  248,   24
  16,  224, 1000,  264,   24
  16,  236, 1000,  272,   24
   4,  252, 1000,  260,   28
   4,  228, 1000,  268,   32
   0,  224, 1000,  264,   28
   0,  220, 1000,  260,   24
  12,  240, 1000,  280,   20
   0,  216, 1000,  252,   24
   4,  216, 1000,  252,    8
   0,  212, 1000,  248,   20
   0,  232, 1000,  244,    0
   0,  224, 1000,  236,   12
   0,  224, 1000,  236,   12
   4,  240, 1000,  256,    8
   0,  220, 1000,  232,   12
   0,  220, 1000,  232,    0
   8,  240, 1000,  232,   12
   4,  216, 1000,  228,    8
   0,  216, 1000,  224,    4
  12,  236, 1000,  240,   20
   0,  216, 1000,  220,    8
   4,  224, 1000,  212,    0
   0,  212, 1000,  224,    8
