Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
  24,  280, 1000,  224,    0
  16,  288, 1000,  212,    0
  20,  276, 1000,  216,   12
  20,  268, 1000,  192,    8
  16,  272, 1000,  200,   12
  12,  272, 1000,  208,   12
  12,  276, 1000,  212,    8
   8,  276, 1000,  216,    4
  16,  276, 1000,  216,    4
  20,  280, 1000,  204,    8
  24,  284, 1000,  216,   12
  16,  288, 1000,  208,   12
  12,  292, 1000,  212,   16
  20,  292, 1000,  196,   16
  16,  276, 1000,  196,    8
   4,  280, 1000,  204,   12
  16,  308, 1000,  208,   24
   0,  268, 1000,  204,    8
   0,  256, 1000,  196,    0
   4,  256, 1000,  208,    8
  12,  268, 1000,  216,    4
   4,  288, 1000,  216,   12
   8,  276, 1000,  216,    0
  20,  280, 1000,  212,   12
   8,  284, 1000,  204,    0
   8,  280, 1000,  196,    4
   8,  296, 1000,  204,    0
  16,  320, 1000,  220,    8
  24,  324, 1000,  228,   20
  24,  308, 1000,  196,   16
  20,  300, 1000,  220,    4
  32,  316, 1000,  228,    4
  32,  308, 1000,  220,   20
  32,  296, 1000,  232,   20
  20,  284, 1000,  216,   16
  24,  280, 1000,  220,   16
  20,  288, 1000,  228,   16
  24,  280, 1000,  228,   16
  32,  308, 1000,  248,   24
  24,  284, 1000,  228,   16
  28,  288, 1000,  236,   20
  32,  312, 1000,  216,   24
  24,  300, 1000,  232,   24
  24,  316, 1000,  232,   24
  24,  308, 1000,  232,   12
  32,  308, 1000,  228,   12
  32,  332, 1000,  208,   24
  32,  316, 1000,  204,   24
  40,  332, 1000,  212,   32
  28,  324, 1000,  232,   16
  24,  296, 1000,  220,   16
  20,  296, 1000,  220,   16
  20,  284, 1000,  224,    0
  16,  280, 1000,  224,   20
  16,  272, 1000,  236,    4
  24,  268, 1000,  232,   16
  28,  272, 1000,  228,   20
  36,  300, 1000,  244,   28
  28,  292, 1000,  236,   20
  24,  280, 1000,  192,   16
  12,  296, 1000,  200,   16
  12,  292, 1000,  196,   16
  20,  284, 1000,  184,   12
   8,  308, 1000,  184,   16
  20,  304, 1000,  188,    8
   8,  304, 1000,  184,   16
  16,  284, 1000,  176,    8
  16,  268, 1000,  180,    8
   4,  260, 1000,  192,    8
   8,  248, 1000,  204,   12
  16,  268, 1000,  232,   20
   8,  244, 1000,  208,    0
  12,  248, 1000,  232,    4
  12,  264, 1000,  240,   20
  16,  264, 1000,  236,   20
  20,  276, 1000,  224,   12
  12,  276, 1000,  196,    4
  24,  280, 1000,  180,   16
  28,  304, 1000,  204,   20
  20,  292, 1000,  176,   12
   8,  304, 1000,  176,    0
   8,  308, 1000,  176,    8
   4,  296, 1000,  184,   12
   8,  292, 1000,  160,    0
   0,  284, 1000,  192,    0
  16,  280, 1000,  176,    8
  16,  256, 1000,  180,    8
   0,  248, 1000,  184,    4
   0,  240, 1000,  208,    8
   8,  260, 1000,  240,   16
   8,  264, 1000,  240,   16
   0,  220, 1000,  224,    8
   0,  236, 1000,  216,    8
   4,  260, 1000,  212,    0
   4,  276, 1000,  200,    8
  12,  296, 1000,  172,    4
   0,  296, 1000,  176,    8
   0,  300, 1000,  168,    8
  16,  324, 1000,  168,    8
  12,  316, 1000,  188,   16
   4,  292, 1000,  176,    0
  12,  252, 1000,  188,    4
   8,  240, 1000,  200,    4
   0,  232, 1000,  216,    4
   0,  224, 1000,  208,    0
   0,  220, 1000,  236,    4
   0,  220, 1000,  236,    8
   8,  248, 1000,  240,   20
   8,  264, 1000,  224,   20
   4,  264, 1000,  192,   12
   8,  280, 1000,  196,   12
   8,  296, 1000,  196,    0
   8,  312, 1000,  188,    0
  12,  320, 1000,  188,    0
  16,  320, 1000,  196,   24
  16,  328, 1000,  208,   24
  24,  316, 1000,  216,   16
   8,  280, 1000,  188,   20
   8,  272, 1000,  196,   20
   8,  264, 1000,  216,   16
  16,  272, 1000,  232,   24
   8,  236, 1000,  244,   16
  12,  252, 1000,  240,   20
   8,  256, 1000,  256,   20
  20,  268, 1000,  244,   24
  20,  272, 1000,  236,   24
   8,  284, 1000,  224,   16
   4,  288, 1000,  184,   16
  12,  316, 1000,  200,   20
  12,  336, 1000,  212,   24
  12,  324, 1000,  188,   20
   8,  312, 1000,  192,   16
   4,  292, 1000,  204,   16
  16,  276, 1000,  196,   20
  16,  264, 1000,  208,   20
   0,  256, 1000,  232,    8
  12,  252, 1000,  244,   20
